Seller	No. of times it competes for buybox	No. of times it wins the buybox
SOLUTIONSWORLD	1	0
Artek Web	2	1
Geeta system	1	0
Wings4you	1	1
Myric	1	0
KREATIVE INDIA	1	0
Online Boss	1	0
KMC Tech	1	1
TROIKA SERVICES	1	0
Raj Rajeshwari Enterprises	1	0
NT GROUP	1	0
EXPERT COMPUTER SOLUTIONS	1	0
SHRI MOBILE COLLECTION	1	0
Gmart PLUS	1	1
Gaming Best	1	0
Shree prahlad enterprises	3	0
cloudind	1	0
A Happy Life Retail Private Ltd	1	1
Retailnet inc	1	1
Gigo bytes	1	0
MAA VAKAL MOBILE POINT VIRAR	1	0
SellnShip	1	1
Imaginory collection	1	0
INNOXX	1	1
Wánjù Store	1	0
Gauzy Sales Private Limited	1	0
Tifygg	1	0
UNIVERSO SUPPLY CHAIN	1	1
Cables & Etc	1	1
Redonez Accessories	1	0
Osshoppers	1	0
harsh agency	1	0
BROTHERS RAJPOOT ACCESSORIES	1	0
PRAMOD SAH	1	0
ReTrack	2	1
EazyShopPoint	2	1
JPenterprises	1	0
OASIS ELECTROMART PRIVATE LIMITED	1	1
Success cards	1	0
The Techcurious	1	0
STARMALL	1	0
SAMTROON	1	1
Deals Sea	1	0
5 star retail	1	0
EDUVILLE_RETAIL	1	0
Smartonline	1	1
Hi - Fi	1	1
