Seller	No. of times it competes for buybox	No. of times it wins the buybox
Jawahar Book Centre	15	1
Vivekananda Jnanapeeth	1	1
Durga Book Seller and Publisher	1	0
Books means books	2	0
S. J. Books	19	0
M&J Services.	7	0
Aryas Enterprises	7	0
Trust Vision	3	0
Metropolitan Book Company	11	0
Ananda Niketan Trust	1	1
J L COLLECTIONS	1	0
Global Klamp	34	0
Klamp Associates	11	0
The alliance	2	2
SHIVSHAKTI BOOKS	1	0
Luxury Book Center	2	0
Priya book dipo	2	0
A K BOOK	3	0
MAA SHARDA BOOK STORE	4	0
TWO BRO ENTERPRISES	2	0
Book tree.	7	0
Aaditya BOOK SERVICE	16	0
Swetha Books	15	0
Bharatiyam Books	12	0
Vikksun books	3	0
Law Books Store	1	0
keybookz	5	0
R R Global Enterprises	1	0
Z Book Stores	2	1
#BOOKSMANIA	12	1
Premiere Sales	7	1
Outlaw Books	7	0
E S CORPORATION	13	1
Rockwood	1	0
Everydaybookcentre	4	0
PIYUSH PUBLISHER AND DISTRIBUTORS	13	0
Arrow Book House	2	0
YogiImpressions	4	1
Piccadilly Book Stall	22	0
ATC Milestones & Memories	1	0
Sanjeev books	2	0
jaihari books	12	0
Razor Books	1	0
Capsbookz	52	0
pigloo house	10	1
ADHIKARI CAREER LAUNCHER SHOP	4	2
H B C Center	7	0
Dev Book store	7	0
Roshan's Book Center	16	0
Book&Books	7	0
Sana Books	2	0
BookWorld99	11	0
Together Books distributor	6	0
Bookswale Hyderabad	28	2
BOOKZONE INDIA	18	6
Jain Book Mart	2	0
yashika120540	10	3
SomethingCreative	2	0
chandbookdepot	14	0
R2Services_BLR	9	0
MUST READ	11	1
Classic Book Centre	4	0
ARVIND BOOK	2	0
WishBooks	1	0
ONLINE BOOK CORNER	11	5
A P Book House	3	0
tallbooks	3	2
star books trivandrum	6	0
MADAAN BOOK COLLECTION	21	0
GB BOOK SHOP	5	0
NS Book Shop Old	5	0
New Gen Book	1	0
GAURAV BOOKS CENTER	11	0
Manifest Services	7	0
Sameer Book Depot	9	0
JB BOOK WORLD	1	0
Jaico Publishing House	1	0
